provision_id,customer_id,service_type,provisioned_level,status
1,C1001,bandwidth,6Gbps,active
2,C1002,compute_instances,small,active
3,C1003,cloud_storage,5TB,active
4,C1003,bandwidth,9Gbps,pending
5,C1004,database_service,standard,suspended
6,C1005,cloud_storage,2TB,active
7,C1005,bandwidth,8Gbps,pending
8,C1005,database_service,high-memory,suspended
9,C1006,bandwidth,8Gbps,pending
10,C1006,support_plan,standard,active
11,C1006,cloud_storage,2TB,pending
12,C1007,cloud_storage,5TB,pending
13,C1007,bandwidth,6Gbps,active
14,C1007,api_calls,premium,active
15,C1008,api_calls,premium,pending
16,C1009,database_service,high-memory,active
17,C1009,api_calls,standard,active
18,C1009,bandwidth,7Gbps,active
19,C1010,bandwidth,3Gbps,active
20,C1010,cloud_storage,10TB,active
21,C1011,api_calls,basic,active
22,C1011,cloud_storage,5TB,suspended
23,C1011,database_service,high-cpu,pending
24,C1012,cloud_storage,4TB,pending
25,C1012,support_plan,enterprise,active
26,C1012,bandwidth,4Gbps,suspended
27,C1013,bandwidth,5Gbps,active
28,C1014,api_calls,premium,active
29,C1015,api_calls,premium,suspended
30,C1015,cloud_storage,6TB,active
31,C1015,support_plan,enterprise,pending
32,C1016,bandwidth,8Gbps,active
33,C1017,bandwidth,6Gbps,active
34,C1017,database_service,high-cpu,suspended
35,C1018,compute_instances,large,suspended
36,C1018,api_calls,standard,active
37,C1019,compute_instances,small,pending
38,C1019,bandwidth,9Gbps,active
39,C1019,api_calls,basic,pending
40,C1020,bandwidth,7Gbps,active
41,C1020,compute_instances,medium,active
42,C1021,database_service,high-cpu,active
43,C1021,bandwidth,8Gbps,active
44,C1022,bandwidth,8Gbps,active
45,C1022,compute_instances,small,active
46,C1023,bandwidth,10Gbps,active
47,C1024,api_calls,basic,pending
48,C1024,support_plan,enterprise,pending
49,C1025,support_plan,enterprise,active
50,C1026,bandwidth,1Gbps,suspended
51,C1026,cloud_storage,5TB,active
52,C1026,api_calls,standard,active
53,C1027,support_plan,basic,active
54,C1028,bandwidth,8Gbps,active
55,C1028,database_service,standard,active
56,C1028,cloud_storage,10TB,suspended
57,C1029,bandwidth,6Gbps,active
58,C1029,compute_instances,xlarge,active
59,C1029,api_calls,basic,active
60,C1030,support_plan,enterprise,active
61,C1030,compute_instances,medium,pending
62,C1030,database_service,high-cpu,active
63,C1031,support_plan,enterprise,active
64,C1031,bandwidth,1Gbps,suspended
65,C1032,database_service,high-cpu,active
66,C1033,bandwidth,7Gbps,active
67,C1034,support_plan,standard,pending
68,C1035,api_calls,premium,suspended
69,C1036,cloud_storage,9TB,active
70,C1036,api_calls,premium,active
71,C1036,bandwidth,1Gbps,suspended
72,C1037,compute_instances,medium,active
73,C1037,cloud_storage,9TB,suspended
74,C1038,cloud_storage,3TB,active
75,C1039,database_service,high-memory,active
76,C1040,database_service,enterprise,active
77,C1041,cloud_storage,6TB,active
78,C1042,bandwidth,9Gbps,active
79,C1042,database_service,high-cpu,pending
80,C1042,api_calls,basic,suspended
81,C1043,bandwidth,10Gbps,active
82,C1043,api_calls,standard,active
83,C1044,compute_instances,xlarge,active
84,C1045,support_plan,basic,suspended
85,C1045,database_service,high-cpu,active
86,C1045,compute_instances,xlarge,active
87,C1046,api_calls,standard,pending
88,C1046,support_plan,enterprise,suspended
89,C1047,cloud_storage,4TB,active
90,C1047,support_plan,standard,active
91,C1047,bandwidth,9Gbps,active
92,C1048,cloud_storage,8TB,active
93,C1049,api_calls,basic,active
94,C1049,cloud_storage,1TB,suspended
95,C1049,support_plan,premium,active
96,C1050,database_service,standard,active
97,C1051,cloud_storage,1TB,active
98,C1051,support_plan,standard,pending
99,C1051,api_calls,basic,active
100,C1052,compute_instances,xlarge,suspended
101,C1053,database_service,standard,active
102,C1054,api_calls,premium,active
103,C1054,support_plan,enterprise,suspended
104,C1054,compute_instances,small,active
105,C1055,bandwidth,3Gbps,active
106,C1056,database_service,standard,active
107,C1057,database_service,enterprise,active
108,C1058,compute_instances,medium,active
109,C1059,bandwidth,7Gbps,active
110,C1060,support_plan,premium,suspended
111,C1061,database_service,standard,suspended
112,C1062,api_calls,premium,active
113,C1063,support_plan,standard,active
114,C1064,compute_instances,large,suspended
115,C1065,database_service,enterprise,pending
